Unnamed: 0;Аналитика;Код;Артикул;Количество;Себестоимость
126.0;З/у Kodak зарядное устройство для аккум. USB [2AA/AAA] C8001B(6/24/1200) 2375 812217;812217.0;lБ0047499;1;254.78
127.0;Клей СИЛА обувной 15мл BL1 (шоубокс 12шт) SSBL1-15 2410 485492;485492.0;lБ0002921;5;170.65
128.0;Клей СИЛА обувной 30мл. туба (шоубокс 12шт) SSTB-30 689126;689126.0;lБ0035612;2;101.46
129.0;Клей СИЛА Эпоксидный 6мл, шприц, прозрачн. BL1 SEBL1-6 1064 463012;463012.0;lБ0002922;63;4128.71
130.0;Паяльник 100Вт/220V с деревянной рукояткой ЭПСН 230V 100W  PL-R01-100W ЭРА, 1009 784114;784114.0;lБ0046955;8;1907.94
131.0;Паяльник 25Вт/220V с деревянной рукояткой ЭПСН 230V 25W  PL-R01- 25 W ЭРА, 0927 784112;784112.0;lБ0046951;3;469.31
132.0;Паяльник 40Вт/220V с деревянной рукояткой ЭПСН 230V 40W  PL-R01-40W ЭРА, 0941 784113;784113.0;lБ0046952;14;2273.21
133.0;Паяльник 65Вт/220V с деревянной рукояткой ЭПСН 230V 65W  PL-R01-65W ЭРА, 0965 784115;784115.0;lБ0046953;15;2813.64
134.0;Паяльник 80Вт/220V с деревянной рукояткой ЭПСН 230V 80W  PL-R01-80W ЭРА, 0989 784116;784116.0;lБ0046954;5;1127.88
135.0;Паяльник ЭПЦН 230В 65W с деревянной рукояткой, Россия, ЭРА 61032 880039;880039.0;lБ0061032;5;1418.66
136.0;Переходник  гн.F - шт.TV Эра simple (100!) RS-A01, 5813 784503;784503.0;lБ0048288;100;492.96
137.0;Супер-Клей СИЛА 505 3г BL12 блистер-лента (цена за 1шт, отгрузка кратно 12шт) 505-3 3247 678834;678834.0;lБ0033119;168;2200.71
138.0;СИЛА Лента для труб самоклеящаяся ПВХ 48мм рулон 5м 48/5 серый TPD72-03 7265 388451;388451.0;lC0044592;6;346.32
139.0;Супер-Клей Гель СИЛА 3г BL12 блистер-карта (цена за 1шт, отгрузка кратно 12шт) SSGBL12-3 0771 335425;335425.0;lC0042300;12;336.21
140.0;Супер-Клей СИЛА 29 1г BL12 лента (цена за 1шт, отгрузка кратно 12шт) SSBL12-1 5999 680635;680635.0;lБ0034921;60;575.43
141.0;Супер-Клей СИЛА 505 6г туба кор. 505-6 3261 680577;680577.0;lБ0033120;107;2957.73
142.0;Супер-Клей СИЛА Сверхпрочный 3г BL12 (цена за 1шт, лента по 12шт) SSBL12-3 6030 381313;381313.0;lC0042302;312;5645.94
143.0;ТРОФИ фонарь налобный TG1 1W (80lm) акк. (0.5Ah), луч 50м, 7 ч раб. 4991 805368;805368.0;lБ0053033;-3;-440.97
144.0;ТРОФИ фонарь налобный TG7 (3xR03) 7св/д, черный+оранж/пластик, 4 режима 407421;407421.0;lБ0002227;1;120.05
145.0;ТРОФИ фонарь налобный TG9 (акк. 4V 0.9Ah) 9св/д, черный/пластик, 2 режима, з/у 220V 402564;402564.0;lC0045557;2;528.52
146.0;ТРОФИ фонарь пушлайт SB-101 подсветка  СОВ, 3хААА, белый, 1шт в пак. 0255 805367;805367.0;lБ0052747;8;410.84
147.0;ТРОФИ фонарь ручной TM9 (3xR03) 9св/д серебр./металл, картон 407423;407423.0;lБ0002225;2;195.71
148.0;ТРОФИ фонарь ручной универсальный 1W 22lm (1хAA) 1 SMD+4 led осн+бок.свет IP20 UB-101 6857 817569;817569.0;lБ0054034;7;363.11
149.0;ТРОФИ фонарь-прожектор TSP10 (акк. 4V 1.5Ah) 15св/д, черн./пластик, 2 режима, вилка 220V 426368;426368.0;lБ0016537;2;827.05
150.0;ТРОФИ фонарь-прожектор TSP19 (акк. 4V 2Ah) 19св/д+18св/д, черный+оранж./пластик, 2 режима, з/у 220V 402559;402559.0;lC0045552;1;689.38
151.0;Элемент питания Kodak 6F22 крона BL1 4689;4689.0;lБ0005137;77;4024.16
152.0;Э/п Kodak часовая AG4 (377) LR626, LR66 [KAG4-10] BL10 721383;721383.0;lБ0044709;60;411
153.0;Э/п Kodak часовая AG10 (389) LR1130, LR54 [KAG10-10] BL10 721377;721377.0;lБ0044715;100;788.75
154.0;Э/п Kodak часовая AG13 (357) LR1154, LR44 [KAG13-10] BL10 721380;721380.0;lБ0044718;50;398.61
155.0;Э/п Kodak MAX SUPER Alkaline 23A 1BL (3LR50, LRV08, 8LR932) K23A-1(60/240/21600) 6055 812214;812214.0;lБ0017778;20;888.94
156.0;Э/п Kodak MAX SUPER Alkaline 27A 1BL (K27A-1, GP27A, MN27) (60/240/28800) 4370 812215;812215.0;lБ0047482;15;666.17
157.0;Элемент питания Kodak MAX 6LR61/6F22 крона BL1 5268;5268.0;lБ0005130;19;2538.38
158.0;Элемент питания Kodak MAX Lithium CR123A BL1 4772;4772.0;lБ0005146;12;2934.6
159.0;Э/п Kodak MAX Lithium CR1632 BL1 659279;659279.0;lБ0029113;25;1246.8
160.0;Элемент питания Kodak MAX Lithium CR2 BL1 5450;5450.0;lБ0014848;10;2897
161.0;Элемент питания Kodak MAX Lithium CR2025 BL5 618594;618594.0;lБ0018716;10;293.28
162.0;Элемент питания Kodak MAX Lithium CR2032 BL5 618595;618595.0;lБ0018717;120;3517.29
163.0;Э/п Kodak MAX Lithium CR2430 BL1 812216;812216.0;lБ0029114;31;2074.64
164.0;Э/п Kodak MAX Lithium CR2450 BL1 784314;784314.0;lБ0050401;15;1324.85
165.0;Элемент питания Kodak MAX LR03/286 BL10 421080;421080.0;lБ0005125;10;277.68
166.0;Элемент питания Kodak MAX LR03/286 BL2 554635;554635.0;lБ0005132;20;668.93
